,name,food_interactions,drug_index,cleaned_text,interaction,interaction_count
4520,Zinc oxide,"['Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.']",1097,"'Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.'","', 'Take on an empty stomach",0
4521,Zinc oxide,"['Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.']",1097,"'Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.'",Take at least 1 hour before and 2 hours after eating for optimal absorption,0
4522,Zinc oxide,"['Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.']",1097,"'Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.'",Zinc can be taken with food to reduce gastrointestinal upset,0
4524,Zinc sulfate,"['Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.']",1098,"'Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.'",'Avoid milk and dairy products,0
4525,Zinc sulfate,"['Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.']",1098,"'Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.'",Separate the use of zinc from these products by at least 2 hours before administration,0
4526,Zinc sulfate,"['Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.']",1098,"'Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.'",Separate for 2 hours after administration if these products also contain phosphorus,0
4527,Zinc sulfate,"['Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.']",1098,"'Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.'","', 'Do not take with bran and high fiber foods",0
4528,Zinc sulfate,"['Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.']",1098,"'Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.'","For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods",0
4529,Zinc sulfate,"['Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.']",1098,"'Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.'","', 'Take on an empty stomach",0
4530,Zinc sulfate,"['Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.']",1098,"'Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.'",Take at least 1 hour before and 2 hours after eating for optimal absorption,0
4531,Zinc sulfate,"['Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.']",1098,"'Avoid milk and dairy products. Separate the use of zinc from these products by at least 2 hours before administration. Separate for 2 hours after administration if these products also contain phosphorus.', 'Do not take with bran and high fiber foods. For optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.', 'Take on an empty stomach. Take at least 1 hour before and 2 hours after eating for optimal absorption. Zinc can be taken with food to reduce gastrointestinal upset.'",Zinc can be taken with food to reduce gastrointestinal upset,0
4533,Sodium fluoride,['Avoid milk and dairy products. Do no take this drug within 1 hour of consuming dairy products.'],1099,'Avoid milk and dairy products. Do no take this drug within 1 hour of consuming dairy products.','Avoid milk and dairy products,0
4534,Sodium fluoride,['Avoid milk and dairy products. Do no take this drug within 1 hour of consuming dairy products.'],1099,'Avoid milk and dairy products. Do no take this drug within 1 hour of consuming dairy products.',Do no take this drug within 1 hour of consuming dairy products,0
4536,Osimertinib,"[""Avoid St. John's Wort. This herb induces the CYP3A metabolism of osimertinib, and therefore, dose adjustments are necessary if they must be co-administered."", 'Take at the same time every day.', 'Take with or without food.']",1100,"""Avoid St John's Wort. This herb induces the CYP3A metabolism of osimertinib, and therefore, dose adjustments are necessary if they must be co-administered."", 'Take at the same time every day.', 'Take with or without food.'","""Avoid St John's Wort",0
4537,Osimertinib,"[""Avoid St. John's Wort. This herb induces the CYP3A metabolism of osimertinib, and therefore, dose adjustments are necessary if they must be co-administered."", 'Take at the same time every day.', 'Take with or without food.']",1100,"""Avoid St John's Wort. This herb induces the CYP3A metabolism of osimertinib, and therefore, dose adjustments are necessary if they must be co-administered."", 'Take at the same time every day.', 'Take with or without food.'","This herb induces the CYP3A metabolism of osimertinib, and therefore, dose adjustments are necessary if they must be co-administered",0
4538,Osimertinib,"[""Avoid St. John's Wort. This herb induces the CYP3A metabolism of osimertinib, and therefore, dose adjustments are necessary if they must be co-administered."", 'Take at the same time every day.', 'Take with or without food.']",1100,"""Avoid St John's Wort. This herb induces the CYP3A metabolism of osimertinib, and therefore, dose adjustments are necessary if they must be co-administered."", 'Take at the same time every day.', 'Take with or without food.'",""", 'Take at the same time every day",0
4539,Osimertinib,"[""Avoid St. John's Wort. This herb induces the CYP3A metabolism of osimertinib, and therefore, dose adjustments are necessary if they must be co-administered."", 'Take at the same time every day.', 'Take with or without food.']",1100,"""Avoid St John's Wort. This herb induces the CYP3A metabolism of osimertinib, and therefore, dose adjustments are necessary if they must be co-administered."", 'Take at the same time every day.', 'Take with or without food.'","', 'Take with or without food",0
4541,Tipiracil,['Take with food.'],1101,'Take with food.','Take with food,0
4543,Chymotrypsin,['Take with food.'],1102,'Take with food.','Take with food,0
4545,Esterified estrogens,"['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of esterified estrogens.', ""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of esterified estrogens.""]",1103,"'Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of esterified estrogens.', ""Avoid St John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of esterified estrogens.""",'Avoid grapefruit products,0
4546,Esterified estrogens,"['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of esterified estrogens.', ""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of esterified estrogens.""]",1103,"'Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of esterified estrogens.', ""Avoid St John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of esterified estrogens.""","Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of esterified estrogens",0
4547,Esterified estrogens,"['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of esterified estrogens.', ""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of esterified estrogens.""]",1103,"'Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of esterified estrogens.', ""Avoid St John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of esterified estrogens.""","', ""Avoid St John's Wort",0
4548,Esterified estrogens,"['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of esterified estrogens.', ""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of esterified estrogens.""]",1103,"'Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of esterified estrogens.', ""Avoid St John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of esterified estrogens.""",This herb induces CYP3A metabolism and may reduce serum levels of esterified estrogens,0
4550,Norgestrel,"['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of norgestrel.', ""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of norgestrel."", 'Take at the same time every day.']",1104,"'Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of norgestrel.', ""Avoid St John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of norgestrel."", 'Take at the same time every day.'",'Avoid grapefruit products,0
4551,Norgestrel,"['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of norgestrel.', ""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of norgestrel."", 'Take at the same time every day.']",1104,"'Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of norgestrel.', ""Avoid St John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of norgestrel."", 'Take at the same time every day.'","Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of norgestrel",0
4552,Norgestrel,"['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of norgestrel.', ""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of norgestrel."", 'Take at the same time every day.']",1104,"'Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of norgestrel.', ""Avoid St John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of norgestrel."", 'Take at the same time every day.'","', ""Avoid St John's Wort",0
4553,Norgestrel,"['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of norgestrel.', ""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of norgestrel."", 'Take at the same time every day.']",1104,"'Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of norgestrel.', ""Avoid St John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of norgestrel."", 'Take at the same time every day.'",This herb induces CYP3A metabolism and may reduce serum levels of norgestrel,0
4554,Norgestrel,"['Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of norgestrel.', ""Avoid St. John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of norgestrel."", 'Take at the same time every day.']",1104,"'Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of norgestrel.', ""Avoid St John's Wort. This herb induces CYP3A metabolism and may reduce serum levels of norgestrel."", 'Take at the same time every day.'",""", 'Take at the same time every day",0
4556,Technetium Tc-99m sulfur colloid,"['Take with food. For pediatric patients, orally administered Technetium Tc-99m sulfur colloid should be given with milk, or if administered by nasogastric tube, it should be given with milk or dextrose.']",1105,"'Take with food. For pediatric patients, orally administered Technetium Tc-99m sulfur colloid should be given with milk, or if administered by nasogastric tube, it should be given with milk or dextrose.'",'Take with food,0
4557,Technetium Tc-99m sulfur colloid,"['Take with food. For pediatric patients, orally administered Technetium Tc-99m sulfur colloid should be given with milk, or if administered by nasogastric tube, it should be given with milk or dextrose.']",1105,"'Take with food. For pediatric patients, orally administered Technetium Tc-99m sulfur colloid should be given with milk, or if administered by nasogastric tube, it should be given with milk or dextrose.'","For pediatric patients, orally administered Technetium Tc-99m sulfur colloid should be given with milk, or if administered by nasogastric tube, it should be given with milk or dextrose",0
4559,Magnesium chloride,['Take with or without food. Taking magnesium supplements with food may reduce the risk of diarrhea.'],1106,'Take with or without food. Taking magnesium supplements with food may reduce the risk of diarrhea.','Take with or without food,0
4560,Magnesium chloride,['Take with or without food. Taking magnesium supplements with food may reduce the risk of diarrhea.'],1106,'Take with or without food. Taking magnesium supplements with food may reduce the risk of diarrhea.',Taking magnesium supplements with food may reduce the risk of diarrhea,0
4562,Monopotassium phosphate,"['Take separate from antacids. Magnesium, calcium, or aluminum antacids may reduce the absorption of phosphate in K-phos.', 'Take with a full glass of water. Dissolve K-Phos tablets in water then ingest.', 'Take with food. Take K-Phos tablets at bedtime and with meals.']",1107,"'Take separate from antacids. Magnesium, calcium, or aluminum antacids may reduce the absorption of phosphate in K-phos.', 'Take with a full glass of water. Dissolve K-Phos tablets in water then ingest.', 'Take with food. Take K-Phos tablets at bedtime and with meals.'",'Take separate from antacids,0
4563,Monopotassium phosphate,"['Take separate from antacids. Magnesium, calcium, or aluminum antacids may reduce the absorption of phosphate in K-phos.', 'Take with a full glass of water. Dissolve K-Phos tablets in water then ingest.', 'Take with food. Take K-Phos tablets at bedtime and with meals.']",1107,"'Take separate from antacids. Magnesium, calcium, or aluminum antacids may reduce the absorption of phosphate in K-phos.', 'Take with a full glass of water. Dissolve K-Phos tablets in water then ingest.', 'Take with food. Take K-Phos tablets at bedtime and with meals.'","Magnesium, calcium, or aluminum antacids may reduce the absorption of phosphate in K-phos",0
4564,Monopotassium phosphate,"['Take separate from antacids. Magnesium, calcium, or aluminum antacids may reduce the absorption of phosphate in K-phos.', 'Take with a full glass of water. Dissolve K-Phos tablets in water then ingest.', 'Take with food. Take K-Phos tablets at bedtime and with meals.']",1107,"'Take separate from antacids. Magnesium, calcium, or aluminum antacids may reduce the absorption of phosphate in K-phos.', 'Take with a full glass of water. Dissolve K-Phos tablets in water then ingest.', 'Take with food. Take K-Phos tablets at bedtime and with meals.'","', 'Take with a full glass of water",0
4565,Monopotassium phosphate,"['Take separate from antacids. Magnesium, calcium, or aluminum antacids may reduce the absorption of phosphate in K-phos.', 'Take with a full glass of water. Dissolve K-Phos tablets in water then ingest.', 'Take with food. Take K-Phos tablets at bedtime and with meals.']",1107,"'Take separate from antacids. Magnesium, calcium, or aluminum antacids may reduce the absorption of phosphate in K-phos.', 'Take with a full glass of water. Dissolve K-Phos tablets in water then ingest.', 'Take with food. Take K-Phos tablets at bedtime and with meals.'",Dissolve K-Phos tablets in water then ingest,0
4566,Monopotassium phosphate,"['Take separate from antacids. Magnesium, calcium, or aluminum antacids may reduce the absorption of phosphate in K-phos.', 'Take with a full glass of water. Dissolve K-Phos tablets in water then ingest.', 'Take with food. Take K-Phos tablets at bedtime and with meals.']",1107,"'Take separate from antacids. Magnesium, calcium, or aluminum antacids may reduce the absorption of phosphate in K-phos.', 'Take with a full glass of water. Dissolve K-Phos tablets in water then ingest.', 'Take with food. Take K-Phos tablets at bedtime and with meals.'","', 'Take with food",0
4567,Monopotassium phosphate,"['Take separate from antacids. Magnesium, calcium, or aluminum antacids may reduce the absorption of phosphate in K-phos.', 'Take with a full glass of water. Dissolve K-Phos tablets in water then ingest.', 'Take with food. Take K-Phos tablets at bedtime and with meals.']",1107,"'Take separate from antacids. Magnesium, calcium, or aluminum antacids may reduce the absorption of phosphate in K-phos.', 'Take with a full glass of water. Dissolve K-Phos tablets in water then ingest.', 'Take with food. Take K-Phos tablets at bedtime and with meals.'",Take K-Phos tablets at bedtime and with meals,0
4569,Iodide I-123,"['Limit iodine intake. Consume a low iodine diet for two weeks before the administration of Iodide I-123.', 'Take on an empty stomach. Fasting before the use of I-123 for imaging of the thyroid may increase accuracy.']",1108,"'Limit iodine intake. Consume a low iodine diet for two weeks before the administration of Iodide I-123.', 'Take on an empty stomach. Fasting before the use of I-123 for imaging of the thyroid may increase accuracy.'",'Limit iodine intake,0
4570,Iodide I-123,"['Limit iodine intake. Consume a low iodine diet for two weeks before the administration of Iodide I-123.', 'Take on an empty stomach. Fasting before the use of I-123 for imaging of the thyroid may increase accuracy.']",1108,"'Limit iodine intake. Consume a low iodine diet for two weeks before the administration of Iodide I-123.', 'Take on an empty stomach. Fasting before the use of I-123 for imaging of the thyroid may increase accuracy.'",Consume a low iodine diet for two weeks before the administration of Iodide I-123,0
4571,Iodide I-123,"['Limit iodine intake. Consume a low iodine diet for two weeks before the administration of Iodide I-123.', 'Take on an empty stomach. Fasting before the use of I-123 for imaging of the thyroid may increase accuracy.']",1108,"'Limit iodine intake. Consume a low iodine diet for two weeks before the administration of Iodide I-123.', 'Take on an empty stomach. Fasting before the use of I-123 for imaging of the thyroid may increase accuracy.'","', 'Take on an empty stomach",0
4572,Iodide I-123,"['Limit iodine intake. Consume a low iodine diet for two weeks before the administration of Iodide I-123.', 'Take on an empty stomach. Fasting before the use of I-123 for imaging of the thyroid may increase accuracy.']",1108,"'Limit iodine intake. Consume a low iodine diet for two weeks before the administration of Iodide I-123.', 'Take on an empty stomach. Fasting before the use of I-123 for imaging of the thyroid may increase accuracy.'",Fasting before the use of I-123 for imaging of the thyroid may increase accuracy,0
4574,Protirelin,"['Do not take with or immediately after a high-fat meal. Fatty food can disrupt the TSH assay by increasing lipid levels in the blood.', 'Take with or without food. Take protirelin either after a low-fat meal or on an empty stomach.']",1109,"'Do not take with or immediately after a high-fat meal. Fatty food can disrupt the TSH assay by increasing lipid levels in the blood.', 'Take with or without food. Take protirelin either after a low-fat meal or on an empty stomach.'",'Do not take with or immediately after a high-fat meal,0
4575,Protirelin,"['Do not take with or immediately after a high-fat meal. Fatty food can disrupt the TSH assay by increasing lipid levels in the blood.', 'Take with or without food. Take protirelin either after a low-fat meal or on an empty stomach.']",1109,"'Do not take with or immediately after a high-fat meal. Fatty food can disrupt the TSH assay by increasing lipid levels in the blood.', 'Take with or without food. Take protirelin either after a low-fat meal or on an empty stomach.'",Fatty food can disrupt the TSH assay by increasing lipid levels in the blood,0
4576,Protirelin,"['Do not take with or immediately after a high-fat meal. Fatty food can disrupt the TSH assay by increasing lipid levels in the blood.', 'Take with or without food. Take protirelin either after a low-fat meal or on an empty stomach.']",1109,"'Do not take with or immediately after a high-fat meal. Fatty food can disrupt the TSH assay by increasing lipid levels in the blood.', 'Take with or without food. Take protirelin either after a low-fat meal or on an empty stomach.'","', 'Take with or without food",0
4577,Protirelin,"['Do not take with or immediately after a high-fat meal. Fatty food can disrupt the TSH assay by increasing lipid levels in the blood.', 'Take with or without food. Take protirelin either after a low-fat meal or on an empty stomach.']",1109,"'Do not take with or immediately after a high-fat meal. Fatty food can disrupt the TSH assay by increasing lipid levels in the blood.', 'Take with or without food. Take protirelin either after a low-fat meal or on an empty stomach.'",Take protirelin either after a low-fat meal or on an empty stomach,0
4579,Indium In-111 chloride,['Drink plenty of fluids. Fluids will help remove excess radiation from the body when Indium In-111 chloride is used to radiolabel pentetreotide.'],1110,'Drink plenty of fluids. Fluids will help remove excess radiation from the body when Indium In-111 chloride is used to radiolabel pentetreotide.','Drink plenty of fluids,0
4580,Indium In-111 chloride,['Drink plenty of fluids. Fluids will help remove excess radiation from the body when Indium In-111 chloride is used to radiolabel pentetreotide.'],1110,'Drink plenty of fluids. Fluids will help remove excess radiation from the body when Indium In-111 chloride is used to radiolabel pentetreotide.',Fluids will help remove excess radiation from the body when Indium In-111 chloride is used to radiolabel pentetreotide,0
4582,Fludeoxyglucose (18F),"['Take on an empty stomach. When using Fludeoxyglucose (18F) in oncology or neurology, avoid eating for 4-6 hours before Fludeoxyglucose (18F) administration.', 'Take with food. Consuming food or beverages containing 50-75 grams of glucose just before the administration of Fludeoxyglucose (18F) may be beneficial in the setting of cardiology imaging.']",1111,"'Take on an empty stomach. When using Fludeoxyglucose (18F) in oncology or neurology, avoid eating for 4-6 hours before Fludeoxyglucose (18F) administration.', 'Take with food. Consuming food or beverages containing 50-75 grams of glucose just before the administration of Fludeoxyglucose (18F) may be beneficial in the setting of cardiology imaging.'",'Take on an empty stomach,0
4583,Fludeoxyglucose (18F),"['Take on an empty stomach. When using Fludeoxyglucose (18F) in oncology or neurology, avoid eating for 4-6 hours before Fludeoxyglucose (18F) administration.', 'Take with food. Consuming food or beverages containing 50-75 grams of glucose just before the administration of Fludeoxyglucose (18F) may be beneficial in the setting of cardiology imaging.']",1111,"'Take on an empty stomach. When using Fludeoxyglucose (18F) in oncology or neurology, avoid eating for 4-6 hours before Fludeoxyglucose (18F) administration.', 'Take with food. Consuming food or beverages containing 50-75 grams of glucose just before the administration of Fludeoxyglucose (18F) may be beneficial in the setting of cardiology imaging.'","When using Fludeoxyglucose (18F) in oncology or neurology, avoid eating for 4-6 hours before Fludeoxyglucose (18F) administration",0
4584,Fludeoxyglucose (18F),"['Take on an empty stomach. When using Fludeoxyglucose (18F) in oncology or neurology, avoid eating for 4-6 hours before Fludeoxyglucose (18F) administration.', 'Take with food. Consuming food or beverages containing 50-75 grams of glucose just before the administration of Fludeoxyglucose (18F) may be beneficial in the setting of cardiology imaging.']",1111,"'Take on an empty stomach. When using Fludeoxyglucose (18F) in oncology or neurology, avoid eating for 4-6 hours before Fludeoxyglucose (18F) administration.', 'Take with food. Consuming food or beverages containing 50-75 grams of glucose just before the administration of Fludeoxyglucose (18F) may be beneficial in the setting of cardiology imaging.'","', 'Take with food",0
4585,Fludeoxyglucose (18F),"['Take on an empty stomach. When using Fludeoxyglucose (18F) in oncology or neurology, avoid eating for 4-6 hours before Fludeoxyglucose (18F) administration.', 'Take with food. Consuming food or beverages containing 50-75 grams of glucose just before the administration of Fludeoxyglucose (18F) may be beneficial in the setting of cardiology imaging.']",1111,"'Take on an empty stomach. When using Fludeoxyglucose (18F) in oncology or neurology, avoid eating for 4-6 hours before Fludeoxyglucose (18F) administration.', 'Take with food. Consuming food or beverages containing 50-75 grams of glucose just before the administration of Fludeoxyglucose (18F) may be beneficial in the setting of cardiology imaging.'",Consuming food or beverages containing 50-75 grams of glucose just before the administration of Fludeoxyglucose (18F) may be beneficial in the setting of cardiology imaging,0
4587,Urea C-13,['Take separate from meals. The urea breath test using Urea C-13 should be done at least 1 hour before and after food and drink.'],1112,'Take separate from meals. The urea breath test using Urea C-13 should be done at least 1 hour before and after food and drink.','Take separate from meals,0
4588,Urea C-13,['Take separate from meals. The urea breath test using Urea C-13 should be done at least 1 hour before and after food and drink.'],1112,'Take separate from meals. The urea breath test using Urea C-13 should be done at least 1 hour before and after food and drink.',The urea breath test using Urea C-13 should be done at least 1 hour before and after food and drink,0
4590,Simethicone,['Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.'],1113,'Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.','Take with or without food,0
4591,Simethicone,['Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.'],1113,'Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.',Recommendations vary from product to product - consult individual product monographs for additional information,0
4593,Urea C-14,['Take on an empty stomach. Avoid eating and drinking for 4-6 hours before doing a urea breath test with Urea C-14.'],1114,'Take on an empty stomach. Avoid eating and drinking for 4-6 hours before doing a urea breath test with Urea C-14.','Take on an empty stomach,0
4594,Urea C-14,['Take on an empty stomach. Avoid eating and drinking for 4-6 hours before doing a urea breath test with Urea C-14.'],1114,'Take on an empty stomach. Avoid eating and drinking for 4-6 hours before doing a urea breath test with Urea C-14.',Avoid eating and drinking for 4-6 hours before doing a urea breath test with Urea C-14,0
4596,Omega-3-acid ethyl esters,"['Take with a full glass of water.', 'Take with food. Take with food to reduce gastrointestinal disturbance.']",1115,"'Take with a full glass of water.', 'Take with food. Take with food to reduce gastrointestinal disturbance.'",'Take with a full glass of water,0
